Id,Position,Name,Salary,GameInfo,OPNK,AvgPointsPerGame,Expected Points
103,PG,Devin Harris,3900,Dal@Was 07:00PM ET,7,20.477,16.3816
104,SG,Danny Green,4700,SA@Cle 07:00PM ET,15,20.475,20.475
107,PG,A.J. Price,3000,Cha@Ind 07:00PM ET,28,20.417,28.5838
109,PF,Tristan Thompson,4400,SA@Cle 07:00PM ET,29,20.25,28.35
110,C,Timofey Mozgov,4700,OKC@Den 09:00PM ET,17,20.225,20.225
111,C,Henry Sims,4900,Bos@Phi 07:00PM ET,2,20.15,16.12
112,SF,Tony Allen,3700,Mem@Tor 07:30PM ET,19,19.614,19.614
114,SF,Luc Richard Mbah a Moute,3700,Bos@Phi 07:00PM ET,27,19.5,27.3
116,SF,Terrence Ross,4800,Mem@Tor 07:30PM ET,15,19.45,19.45
117,SG,Kentavious Caldwell-Pope,3700,Pho@Det 07:30PM ET,28,19.068,26.6952
118,PG,Elfrid Payton,3300,LAC@Orl 07:00PM ET,16,19.021,19.021
120,PF,Brandan Wright,3600,Dal@Was 07:00PM ET,8,18.727,14.9816
121,SF,Khris Middleton,3200,Mil@Bkn 07:30PM ET,12,18.679,18.679
122,SF,Corey Brewer,4000,NY@Min 08:00PM ET,1,18.611,14.8888
123,PF,Patrick Patterson,4000,Mem@Tor 07:30PM ET,17,18.6,18.6
124,SG,J.J. Redick,4500,LAC@Orl 07:00PM ET,18,18.583,18.583
125,SG,Anthony Morrow,4300,OKC@Den 09:00PM ET,3,18.563,14.8504
126,SF,Evan Turner,4300,Bos@Phi 07:00PM ET,30,18.5,25.9
127,PG,Jarrett Jack,3900,Mil@Bkn 07:30PM ET,5,18.5,14.8
128,C,Miles Plumlee,4300,Pho@Det 07:30PM ET,30,18.409,25.7726
129,PG,Jameer Nelson,4100,Dal@Was 07:00PM ET,7,18.159,14.5272
130,SG,Dion Waiters,3900,SA@Cle 07:00PM ET,13,18,18
131,SF,Andrew Wiggins,4500,NY@Min 08:00PM ET,1,17.833,14.2664
132,PF,Brandon Davies,4000,Bos@Phi 07:00PM ET,23,17.825,21.39
133,SF,Hollis Thompson,3400,Bos@Phi 07:00PM ET,27,17.7,24.78
134,PG,Sebastian Telfair,3000,OKC@Den 09:00PM ET,11,17.591,17.591
135,SF,K.J. McDaniels,3700,Bos@Phi 07:00PM ET,27,17.425,24.395
136,SF,Kostas Papanikolaou,3600,LAL@Hou 09:30PM ET,11,17.364,17.364
137,C,Mason Plumlee,3600,Mil@Bkn 07:30PM ET,23,17.25,20.7
138,PF,Cody Zeller,3900,Cha@Ind 07:00PM ET,2,17.159,13.7272
139,SF,Bojan Bogdanovic,3800,Mil@Bkn 07:30PM ET,23,17.1,20.52
140,PG,J.J. Barea,3200,Dal@Was 07:00PM ET,7,17.075,13.66
141,PG,Mo Williams,3500,NY@Min 08:00PM ET,4,17,13.6
142,SF,Otto Porter,3200,Dal@Was 07:00PM ET,18,16.972,16.972
143,PG,D.J. Augustin,3200,Pho@Det 07:30PM ET,22,16.864,20.2368
144,PF,Robert Covington,3000,Bos@Phi 07:00PM ET,23,16.75,20.1
145,PF,Darrell Arthur,3300,OKC@Den 09:00PM ET,6,16.722,13.3776
146,SG,Randy Foye,3000,OKC@Den 09:00PM ET,22,16.375,19.65
147,PG,Ronnie Price,3000,LAL@Hou 09:30PM ET,17,16.306,16.306
148,SF,Caron Butler,3500,Pho@Det 07:30PM ET,7,16.295,13.036
149,SF,Wesley Johnson,3800,LAL@Hou 09:30PM ET,25,16.1,19.32
