Pid,Pn,Name,Salary,Team,Or,Ppg,Projected
300784,RW,Jack Skille,2500,,24,1.7,1.75836
594632,RW,Ryan Garbutt,4100,,6,2.4,1.71136
268155,RW,Drew Stafford,4400,,1,2.6,1.70386
660042,RW,Damien Brunner,3000,,22,1.7,1.67536
171386,RW,Martin Erat,2700,,18,1.8,1.60936
610628,RW,Tobias Rieder,2500,,18,1.8,1.60936
184263,RW,Alexander Semin,3500,,30,1.3,1.60736
544288,RW,Ben Smith,2500,,27,1.4,1.58286
296815,RW,David Clarkson,3600,,10,2.1,1.57736
595203,RW,Justin Fontaine,2500,,19,1.7,1.55086
550770,RW,Beau Bennett,3200,,13,1.9,1.50186
325430,RW,Adam Burish,2500,,25,1.4,1.49986
659808,RW,Nail Yakupov,3900,,8,2.1,1.49436
172191,RW,Scottie Upshall,4000,,7,2.1,1.45286
229380,RW,Steve Bernier,2500,,22,1.4,1.37536
845428,RW,Dennis Everberg,2500,,17,1.6,1.36786
382185,RW,Teddy Purcell,3700,,8,1.9,1.29436
607580,RW,Tomas Jurco,3400,,11,1.7,1.21886
325206,RW,Adam Cracknell,2500,,24,1.1,1.15836
329379,RW,Patrick Dwyer,2500,,30,0.8,1.10736
521854,RW,Richard Panik,2500,,10,1.5,0.97736
229392,RW,Patrick Eaves,2900,,6,1.6,0.91136
171112,RW,Brian Gionta,3800,,1,1.8,0.90386
790352,RW,Barclay Goodrow,2500,,25,0.8,0.89986
386556,RW,Cal Clutterbuck,3200,,5,1.6,0.86986
547228,RW,Matt Fraser,2500,,15,1.1,0.78486
172444,RW,Tomas Kopecky,2800,,7,1.4,0.75286
300785,RW,Devin Setoguchi,2500,,26,0.6,0.74136
170627,RW,Daniel Cleary,2900,,11,1.2,0.71886
172592,RW,Ales Hemsky,3400,,6,1.4,0.71136
329652,RW,Chris Stewart,2800,,1,1.6,0.70386
590247,RW,Jason Akeson,2500,,29,0.4,0.66586
171094,RW,Chris Neil,2500,,14,1.0,0.64336
381464,RW,Jared Boll,2500,,24,0.5,0.55836
551535,RW,Corey Tropp,2500,,24,0.5,0.55836
172451,RW,Brian McGrattan,2500,,26,0.4,0.54136
172192,RW,Jordin Tootoo,2500,,22,0.5,0.47536
376393,RW,Marc-Andre Cliche,2500,,17,0.7,0.46786
231132,RW,B.J. Crombeen,2500,,18,0.6,0.40936
653290,RW,J.T. Brown,2500,,4,1.1,0.32836
386160,RW,Ryan Reaves,2500,,9,0.8,0.23586
550756,RW,Brett Connolly,2500,,4,1.0,0.22836
379101,RW,Torrey Mitchell,2500,,1,1.1,0.20386
171296,RW,Craig Adams,2500,,13,0.6,0.20186
504680,RW,Erik Condra,2500,,14,0.5,0.14336
326167,RW,Patrick Kaleta,2500,,1,0.0,-0.89614
